baffled	сбитый с толку
bedrock	основа
beet	свёкла
brittle	хрупкий
burn out	выгореть, сгореть дотла
bushes	кусты
be yourself; everyone else is already taken. oscar wilde.	Будь собой, все остальные роли уже разобраны. Оскар Уальд.
behind every great man is a woman rolling her eyes. bruce almighty.	За каждым великим мужчиной стоит женщина, которая время от времени закатывает глаза. Брюс Всемогущий.
bring me a fat-free yogurt and a cherry marmalade, please.	Принесите мне обезжиренный йогурт и вишнёвый мармелад.
bring us your sorbet and an ice-cream.	Принесите нам щербет и одно мороженое.
but this is an oyster bar: you see it is written up.	Видишь, тут написано, это устричный бар!
ceaseless	непрерывный
chasm	бездна
cheery	весёлый
clonk	глухой металлический звук
cocoa beans	какао бобы
considerably	значительно
consuming	всепоглощающий
crave	страстно желать
cross up	подставить
curiosity	любопытство
calm down	успокаиваться, успокойся!
calm down.	Успокойся.
can i buy you a drink?	Я могу предложить вам выпить?
can i call you some time?	Можно мне звонить тебе время от времени?
can i drive you home (to your place, somewhere)?	Разрешите, я провожу Вас?
can i get some napkins?	Можете принести мне немного салфеток?
can i get you anything to drink?	Могу я принести вам что-нибудь выпить?
can i see a menu in russian, please?	Можно мне меню на русском языке?
can i substitute it with something else?	Я могу заменить это на что-нибудь другое?
can i take early retirement?	Можно мне досрочно уйти на пенсию?
can you bring us some ketchup?	Можете принести нам кетчуп?
cardiac	сердечный
charter	привилегия
clinging	цепляясь
clutching	сжимать
coffee? if it is no bother.	Кофе? Если не трудно.
come on, let's dance!	А ну давай потанцуем!
come on. let's get this over with.	Давай закончим с этим делом.
come to us!	Приезжайте к нам в гости!
come with me!	Пойдемте со мной!
compassion	сострадание
complicated	сложный
could we have more bread, please?	Не могли бы вы принести еще хлеба?
could you please bring us a sponge cake and two dessert forks?	Не могли бы вы принести нам бисквит и 2 десертные вилки?
council	совет
cradling	качать в колыбели
creeping	ползти
crumble	разрушаться
dedication	преданность
dilapidated	полуразрушенный
don't shout at me	не кричите на меня
downright	откровенно
dread	страх
deafening	оглушительный
defamation	клевета
deliverance	освобождение
despite	несмотря на
diamonds are a girl`s best friends. marylin monroe.	Лучшие друзья девушек — это бриллианты. Мэрилин Монро.
do they serve a vanilla creme brulee here?	У них подают ванильный крем-брюле?
do we know each other?	Мы с вами не знакомы?
do you fancy going out tonight?	Хочешь прогуляться сегодня вечером?
do you have a boyfriend?	У вас есть парень?
do you have a girlfriend?	У вас есть девушка?
do you have a light?	У вас огонька не найдется?
do you have a reservation?	У вас заказан столик?
do you have a well-paid job?	У вас есть хорошо оплачиваемая работа?
do you know what time is it?	Вы не знаете, сколько время?
do you like the music?	Тебе нравится эта музыка?
do you like to meet new people?	Тебе нравится встречаться с новыми людьми?
do you need staff for your next project?	Вам нужны сотрудники на ваш следующий проект?
do you prefer still or sparkling water?	Вы предпочитаете воду без газа или с газом?
do you smoke?	Вы курите?
do you speak english?	Вы говорите по-английски?
do you want me to help you? you bet!	Ты хочешь, чтобы я помог тебе? Еще спрашиваешь!
do you want pancakes with your order?	К вашему заказу добавить блины?
do you want to bring anybody along?	Хотите ли Вы взять с собой кого-нибудь?
do you want to dance?	Хочешь ли потанцевать?
do you work freelance?	Вы занимаетесь фрилансом?
don't be late, please!	Не опаздывайте, пожалуйста.
don't be silly.	Не глупи. Не дури.
don't mention that.	Не надо об этом.
don't worry, i can make it on my own.	He волнуйтесь, я сам справлюсь.
don't worry. relax.	He волнуйся. Успокойся. Расслабься.
don't you eat grilled lobsters and crabs?	Резве ты не ешь лобстеров и крабов на гриле?
e-mail your cv to us, please.	Пожалуйста, отправьте нам ваше резюме по почте.
efforts	усилия
empathy	сочувствие
estimate	оценивать
easy!	Полегче. Не лезь на рожон. Успокойся.
elucidation	разъяснение
estimation	подсчёт
eventually	в конечном итоге
every evening i died and every evening i was born again. the fight club.	Каждый вечер я умирал и каждый вечер я рождался заново. Бойцовский клуб.
exact	точный
faithfulness	верность
fallacy	заблуждение
ferocious	свирепый
fidget	ерзать
fuses	предохранители
fuss	суета
fear is the enemy of logic. frank sinatra.	Страх — враг логики. Фрэнк Синатра.
fired	уволен
for my entree, i'll have carpaccio of beef with parmesan.	В качестве закуски я съем карпаччо из говядины с пармезаном.
forgive your enemies, but never forget their names. john f. kennedy.	Можете забыть о своих врагах, но помните их имена. Джон Ф. Кеннеди.
frankly, my dear, i don`t give a damn. rhett butler.	Если честно, моя дорогая, мне наплевать. Ретт Батлер.
garb	одеяние
get out of here	убирайся отсюда
gnats	москиты
grief	горе
groan	стонать
gut	Характер, сила воли
get lost.	Исчезни. Мотай отсюда. Проваливай.
get out of my way.	Уйди с дороги.
glad to meet you.	Приятно познакомиться.
gold ore	Золотая руда
gradually	постепенно
guess	догадываться
hangover	разг. похмелье
harps	арфа
hesitate	колебаться
hoe	мотыга
hung	повесил
have you received your dole money yet?	Ты еще не получил пособие по безработице?
haven't we met before?	Разве мы раньше не встречались?
hear me out!	Выслушайте меня!
hence	следовательно
here's what we'll do.	Мы сделаем вот что.
heritage	наследие
hi, mike! i like your profile. do you think we can talk a little bit?	Привет, Майк! Мне понравилась твоя анкета. Как ты думаешь, мы можем поболтать немного?
how about a shortcake for dessert, jane?	Джейн, как насчёт слоёного торта с фруктовой начинкой на десерт?
how about some coffee or tea?	Как насчёт кофе или чая?
how are you?	Как дела?
how do you like to spend your free time?	Как ты любишь проводить свободное время?
how many hours a day do you work?	Сколько часов в сутки вы работаете?
how old are you?	Сколько Вам лет?
however	однако
humanity is overrated. house m.d..	Гуманизм переоценен. Доктор Хаус.
i agree that strawberry truffles were awesome.	Я согласна, клубничные трюфели были великолепными.
i always tell the truth, even when i lie. scarface.	Я всегда говорю правду, даже когда лгу. Лицо со шрамом.
i am a businessman.	Я - бизнесмен.
i am away on holiday for the next two weeks.	Я в отпуске следующие две недели.
i am from russia.	Я приехал из России.
i am glad to meet you!	Рад встрече.
i bet i know your name.	Держу пари, я знаю как Вас зовут.
i can add chocolate, vanilla or caramel flavouring.	Я могу добавить шоколадный, ванильный или карамельный сироп.
i can resist everything except temptation. oscar wilde.	Я могу устоять перед всем, кроме соблазна. Оскар Уальд.
i can serve you a soda or a raspberry punch, if you like.	Могу предложить вам газированную воду или малиновый пунш, если хотите.
i can't cope with the workload. may i share it with you?	Я не могу справиться со всем объемом работы. Можно я отдам часть тебе?
i can't take my eyes off you.	Я не могу отвести глаз от тебя.
i could bring you your shrimp cocktail now.	Я могу принести вам сейчас коктейль из креветок.
i couldn't reach you.	Я не мог дозвониться до тебя.
i don't eat meat.	Я не ем мясо.
i don't give a damn.	Мне до лампочки.
i don't like myself, i'm crazy about myself. mae west.	Я не нравлюсь себе, я без ума от себя. Мэй Уэст.
i don't like when fried chicken wings are too spicy.	Мне не нравится, когда жареные куриные крылышки слишком острые.
i don't like wine, i prefer a lemon squash.	Я не люблю вино, я предпочитаю содовую воду с лимонным соком.
i don't mind.	Я ничего не имею против.
i don't understand you.	Я не понимаю Вас.
i felt that the food was pretty mediocre and overpriced.	Я чувствовал, что еда здесь посредственная и слишком дорогая.
i have a 10 hour workday.	У меня десятичасовой рабочий день.
i have never let my schooling interfere with my education. mark twain.	Я никогда не позволял школе вмешиваться в моё образование. Марк Твен.
i have no job satisfaction. i'm going to leave.	Моя работа не приносит удовлетворения. Я собираюсь уйти.
i haven't given it much thought.	Я пока еще не думал об этом.
i love sunny-side up eggs with a piece of toast.	Я обожаю яичницу с кусочком тоста.
i love the way your luminous eyes flash.	Мне нравится, как сверкают твои прекрасные глаза.
i mean it.	Честное слово. Я говорю искренне.
i meant only the best.	Я хотел только как лучше.
i start my shift at 8 a.m.	Моя смена начинается в восемь утра.
i think i ordered a cup of decaffeinated coffee.	Мне кажется, я заказывал кофе без кофеина.
i think about we should leave a 15 percent tip.	Я думаю, нам нужно оставить 15 процентов чаевых.
i think so.	Я так думаю.
i think we can meet and spend some time together.	Думаю, мы можем встретиться и провести какое-то время вместе.
i think you forgot to bring me a fork.	Я думаю, вы забыли принести мне вилку.
i want to buy your house. i mean it.	Я хочу купить ваш дом. Честное слово.
i want to find my vocation.	Я хочу найти свое призвание.
i want to know god's thoughts; the rest are details. albert einstein.	Я хочу знать, о чем думает Бог, все остальное — детали. Альберт Эйнштейн.
i want to put a ding in the universe. steve jobs.	Я хочу оставить свой след во Вселенной. Стив Джобс.
i want to try your cheeseburger.	Я хотел бы заказать чизбургер.
i want to wake up in the city that never sleeps. frank sinatra.	Я хочу просыпаться в городе, который никогда не спит. Фрэнк Синатра.
i want to work part-time.	Я хочу работать неполный рабочий день.
